id,name,skills
1,Job Seeker 1,"Machine Learning, JavaScript"
2,Job Seeker 2,"HTML/CSS, Cloud Computing"
3,Job Seeker 3,"React, Ruby, HTML/CSS"
4,Job Seeker 4,"Adaptability, Communication, Ruby"
5,Job Seeker 5,"HTML/CSS, Adaptability, React, Java, SQL"
6,Job Seeker 6,"Node.js, Ruby"
7,Job Seeker 7,"SQL, Node.js, Java, Problem Solving, Machine Learning"
8,Job Seeker 8,HTML/CSS
9,Job Seeker 9,"JavaScript, Machine Learning, React, Ruby, Cloud Computing"
10,Job Seeker 10,
11,Job Seeker 11,"React, Communication, Problem Solving, Java"
12,Job Seeker 12,"SQL, Machine Learning, Node.js"
13,Job Seeker 13,"JavaScript, Node.js, Adaptability"
14,Job Seeker 14,"Teamwork, SQL, Java, React"
15,Job Seeker 15,Teamwork
16,Job Seeker 16,"Problem Solving, React, Machine Learning"
17,Job Seeker 17,"HTML/CSS, Node.js, Problem Solving"
18,Job Seeker 18,Cloud Computing
19,Job Seeker 19,
20,Job Seeker 20,"Teamwork, Communication, SQL, Problem Solving"
21,Job Seeker 21,Adaptability
22,Job Seeker 22,
23,Job Seeker 23,Adaptability
24,Job Seeker 24,"Java, Teamwork"
25,Job Seeker 25,"Teamwork, JavaScript, HTML/CSS"
26,Job Seeker 26,"JavaScript, Teamwork, HTML/CSS"
27,Job Seeker 27,"Machine Learning, Problem Solving, JavaScript, Ruby, React"
28,Job Seeker 28,"Adaptability, SQL"
29,Job Seeker 29,
30,Job Seeker 30,"HTML/CSS, JavaScript, Machine Learning"
31,Job Seeker 31,"React, Ruby"
32,Job Seeker 32,Cloud Computing
33,Job Seeker 33,SQL
34,Job Seeker 34,"Node.js, HTML/CSS, Ruby"
35,Job Seeker 35,
36,Job Seeker 36,
37,Job Seeker 37,"Adaptability, Teamwork, Problem Solving, Node.js, React"
38,Job Seeker 38,"Teamwork, SQL, Adaptability, Ruby"
39,Job Seeker 39,JavaScript
40,Job Seeker 40,"Python, Ruby, Adaptability"
41,Job Seeker 41,"JavaScript, SQL, Machine Learning, HTML/CSS, Adaptability"
42,Job Seeker 42,"HTML/CSS, React, JavaScript"
43,Job Seeker 43,
44,Job Seeker 44,"Teamwork, Machine Learning, Ruby, Adaptability, Node.js"
45,Job Seeker 45,"HTML/CSS, Java"
46,Job Seeker 46,"Python, Communication"
47,Job Seeker 47,
48,Job Seeker 48,"HTML/CSS, SQL, Communication"
49,Job Seeker 49,
50,Job Seeker 50,Node.js
51,Job Seeker 51,
52,Job Seeker 52,Java
53,Job Seeker 53,
54,Job Seeker 54,Java
55,Job Seeker 55,"Communication, HTML/CSS"
56,Job Seeker 56,"Teamwork, Machine Learning, Cloud Computing, Problem Solving"
57,Job Seeker 57,"SQL, Teamwork, Cloud Computing, Ruby"
58,Job Seeker 58,"SQL, Machine Learning, Communication, Adaptability"
59,Job Seeker 59,Node.js
60,Job Seeker 60,
61,Job Seeker 61,"Machine Learning, JavaScript, Adaptability, React"
62,Job Seeker 62,
63,Job Seeker 63,JavaScript
64,Job Seeker 64,"Ruby, React"
65,Job Seeker 65,"Cloud Computing, SQL, JavaScript, Teamwork"
66,Job Seeker 66,"SQL, Java, JavaScript, Machine Learning, Cloud Computing"
67,Job Seeker 67,"Teamwork, Problem Solving"
68,Job Seeker 68,"HTML/CSS, Cloud Computing"
69,Job Seeker 69,
70,Job Seeker 70,"Problem Solving, Teamwork, Communication"
71,Job Seeker 71,Java
72,Job Seeker 72,"Cloud Computing, SQL"
73,Job Seeker 73,"Java, JavaScript, SQL, Problem Solving, Ruby"
74,Job Seeker 74,Adaptability
75,Job Seeker 75,"Problem Solving, React, Machine Learning, SQL"
76,Job Seeker 76,"Python, Problem Solving, Node.js, Ruby, SQL"
77,Job Seeker 77,
78,Job Seeker 78,Adaptability
79,Job Seeker 79,"Problem Solving, React"
80,Job Seeker 80,"Communication, Cloud Computing, Adaptability, Ruby, SQL"
81,Job Seeker 81,"Teamwork, Node.js, JavaScript, SQL"
82,Job Seeker 82,"Communication, HTML/CSS"
83,Job Seeker 83,"Cloud Computing, Problem Solving, React, Machine Learning, Teamwork"
84,Job Seeker 84,"Node.js, Problem Solving"
85,Job Seeker 85,"React, Ruby, Java, Cloud Computing"
86,Job Seeker 86,JavaScript
87,Job Seeker 87,"Node.js, Machine Learning"
88,Job Seeker 88,Ruby
89,Job Seeker 89,"SQL, Communication, Problem Solving"
90,Job Seeker 90,Node.js
91,Job Seeker 91,"React, Node.js, SQL, Cloud Computing, Problem Solving"
92,Job Seeker 92,"Java, Ruby"
93,Job Seeker 93,
94,Job Seeker 94,"Communication, Python, Teamwork"
95,Job Seeker 95,"Machine Learning, React, Python, Java"
96,Job Seeker 96,"Problem Solving, JavaScript, Java, Node.js, Adaptability"
97,Job Seeker 97,"Python, Ruby, React, Adaptability"
98,Job Seeker 98,"React, Java"
99,Job Seeker 99,"HTML/CSS, Communication, Cloud Computing, Java"
100,Job Seeker 100,"SQL, HTML/CSS, Communication"
101,Job Seeker 101,Java
102,Job Seeker 102,"Python, Adaptability"
103,Job Seeker 103,"Java, Cloud Computing"
104,Job Seeker 104,"SQL, Ruby, Node.js, Java, Cloud Computing"
105,Job Seeker 105,Adaptability
106,Job Seeker 106,"Communication, Teamwork, Python"
107,Job Seeker 107,"SQL, React, Ruby, Cloud Computing"
108,Job Seeker 108,"Machine Learning, SQL, Node.js, Problem Solving, Ruby"
109,Job Seeker 109,"Node.js, Cloud Computing"
110,Job Seeker 110,"HTML/CSS, Node.js, Cloud Computing"
111,Job Seeker 111,"Java, Node.js, Problem Solving, Adaptability"
112,Job Seeker 112,"SQL, Problem Solving"
113,Job Seeker 113,"Python, Teamwork"
114,Job Seeker 114,"React, Python, SQL, Java, Communication"
115,Job Seeker 115,SQL
116,Job Seeker 116,"Teamwork, Java, Machine Learning, SQL, Node.js"
117,Job Seeker 117,"Java, Python, Problem Solving, Node.js"
118,Job Seeker 118,
119,Job Seeker 119,"Cloud Computing, Node.js, Communication, SQL, Machine Learning"
120,Job Seeker 120,
121,Job Seeker 121,"Node.js, SQL, Problem Solving, Adaptability"
122,Job Seeker 122,"Teamwork, React, Cloud Computing, Adaptability, Python"
123,Job Seeker 123,
124,Job Seeker 124,
125,Job Seeker 125,HTML/CSS
126,Job Seeker 126,"Python, Cloud Computing"
127,Job Seeker 127,
128,Job Seeker 128,"HTML/CSS, JavaScript, Cloud Computing"
129,Job Seeker 129,"Node.js, Python, Teamwork, Ruby"
130,Job Seeker 130,
131,Job Seeker 131,
132,Job Seeker 132,"JavaScript, React"
133,Job Seeker 133,"Java, HTML/CSS"
134,Job Seeker 134,"Adaptability, Problem Solving, Machine Learning, Communication, Node.js"
135,Job Seeker 135,"Communication, Cloud Computing, Teamwork"
136,Job Seeker 136,
137,Job Seeker 137,
138,Job Seeker 138,"React, Java, HTML/CSS, Node.js"
139,Job Seeker 139,"Machine Learning, SQL, JavaScript"
140,Job Seeker 140,"React, SQL, Problem Solving, JavaScript"
141,Job Seeker 141,"Ruby, Problem Solving, Teamwork, HTML/CSS, SQL"
142,Job Seeker 142,"Problem Solving, Machine Learning, Teamwork"
143,Job Seeker 143,"Communication, SQL"
144,Job Seeker 144,Ruby
145,Job Seeker 145,"Adaptability, Teamwork"
146,Job Seeker 146,
147,Job Seeker 147,Ruby
148,Job Seeker 148,"Communication, Java, Node.js, Adaptability"
149,Job Seeker 149,"HTML/CSS, Problem Solving"
150,Job Seeker 150,"Python, HTML/CSS"
151,Job Seeker 151,"Machine Learning, JavaScript, React, HTML/CSS, Python"
152,Job Seeker 152,"Cloud Computing, Node.js, Adaptability, Java"
153,Job Seeker 153,
154,Job Seeker 154,"Teamwork, JavaScript, HTML/CSS, Problem Solving, Adaptability"
155,Job Seeker 155,"Communication, JavaScript, React"
156,Job Seeker 156,
157,Job Seeker 157,
158,Job Seeker 158,Node.js
159,Job Seeker 159,"JavaScript, Adaptability"
160,Job Seeker 160,"Java, Teamwork, Communication, Adaptability, React"
161,Job Seeker 161,
162,Job Seeker 162,Cloud Computing
163,Job Seeker 163,"Python, Adaptability"
164,Job Seeker 164,"Adaptability, Java, Cloud Computing, Python"
165,Job Seeker 165,"Problem Solving, React, Ruby"
166,Job Seeker 166,
167,Job Seeker 167,Cloud Computing
168,Job Seeker 168,
169,Job Seeker 169,"Adaptability, Python, Java, Problem Solving, React"
170,Job Seeker 170,Adaptability
171,Job Seeker 171,Ruby
172,Job Seeker 172,"HTML/CSS, Python, Cloud Computing, Machine Learning"
173,Job Seeker 173,"React, Ruby, Cloud Computing"
174,Job Seeker 174,"Problem Solving, SQL, HTML/CSS, Java"
175,Job Seeker 175,"Adaptability, JavaScript, Ruby, Node.js, Cloud Computing"
176,Job Seeker 176,"Teamwork, React, Node.js, Adaptability"
177,Job Seeker 177,"React, HTML/CSS, JavaScript, Communication, Node.js"
178,Job Seeker 178,"SQL, Cloud Computing, Ruby, React"
179,Job Seeker 179,"HTML/CSS, Problem Solving, Communication, Node.js"
180,Job Seeker 180,React
181,Job Seeker 181,Machine Learning
182,Job Seeker 182,"Node.js, Java, Problem Solving, Adaptability"
183,Job Seeker 183,"Problem Solving, Adaptability, SQL"
184,Job Seeker 184,"Machine Learning, Node.js"
185,Job Seeker 185,"Communication, SQL, React, Node.js"
186,Job Seeker 186,"Java, Communication"
187,Job Seeker 187,"JavaScript, Cloud Computing, Teamwork"
188,Job Seeker 188,"Machine Learning, Java, Teamwork, HTML/CSS, SQL"
189,Job Seeker 189,"Python, JavaScript"
190,Job Seeker 190,"Java, Teamwork, React, Node.js, Python"
191,Job Seeker 191,"Problem Solving, Java, Adaptability, JavaScript"
192,Job Seeker 192,"SQL, Java, Python, HTML/CSS"
193,Job Seeker 193,"Problem Solving, Python, Teamwork"
194,Job Seeker 194,"Machine Learning, SQL, Ruby"
195,Job Seeker 195,Node.js
196,Job Seeker 196,"HTML/CSS, Node.js, Ruby, Machine Learning, Adaptability"
197,Job Seeker 197,"Machine Learning, Java, React"
198,Job Seeker 198,"Adaptability, Python"
199,Job Seeker 199,Machine Learning
200,Job Seeker 200,"Cloud Computing, SQL, React"
201,Job Seeker 201,"Adaptability, Cloud Computing, Ruby"
202,Job Seeker 202,Cloud Computing
203,Job Seeker 203,Machine Learning
204,Job Seeker 204,Ruby
205,Job Seeker 205,"Cloud Computing, Ruby, Adaptability, HTML/CSS, Java"
206,Job Seeker 206,"Machine Learning, Problem Solving"
207,Job Seeker 207,"Communication, Adaptability"
208,Job Seeker 208,"Teamwork, Java, Adaptability, React"
209,Job Seeker 209,"Cloud Computing, JavaScript, Adaptability, Machine Learning, Problem Solving"
210,Job Seeker 210,"Ruby, Java"
211,Job Seeker 211,"React, Ruby, Adaptability"
212,Job Seeker 212,
213,Job Seeker 213,"Communication, Ruby, HTML/CSS, Machine Learning, Cloud Computing"
214,Job Seeker 214,Adaptability
215,Job Seeker 215,"SQL, Java, Cloud Computing, JavaScript, Communication"
216,Job Seeker 216,"Teamwork, Adaptability"
217,Job Seeker 217,"Teamwork, SQL"
218,Job Seeker 218,
219,Job Seeker 219,"React, Node.js"
220,Job Seeker 220,"Problem Solving, Ruby, React, Python, Java"
221,Job Seeker 221,"SQL, Teamwork, React, Python, Ruby"
222,Job Seeker 222,"Node.js, Adaptability"
223,Job Seeker 223,"HTML/CSS, Problem Solving, Adaptability"
224,Job Seeker 224,Cloud Computing
225,Job Seeker 225,"Cloud Computing, SQL, Communication, Python, JavaScript"
226,Job Seeker 226,"JavaScript, Python, Cloud Computing, SQL"
227,Job Seeker 227,
228,Job Seeker 228,
229,Job Seeker 229,"Teamwork, Ruby"
230,Job Seeker 230,Communication
231,Job Seeker 231,"Ruby, SQL"
232,Job Seeker 232,"Adaptability, Node.js, Ruby"
233,Job Seeker 233,"Node.js, Communication, JavaScript"
234,Job Seeker 234,"Python, Adaptability, Teamwork, Node.js"
235,Job Seeker 235,
236,Job Seeker 236,"HTML/CSS, React, Teamwork"
237,Job Seeker 237,"Java, SQL, React"
238,Job Seeker 238,
239,Job Seeker 239,"SQL, Machine Learning, Problem Solving, Node.js"
240,Job Seeker 240,"Ruby, Cloud Computing, JavaScript, HTML/CSS"
241,Job Seeker 241,"Ruby, Teamwork, React"
242,Job Seeker 242,"Teamwork, Problem Solving, JavaScript, React, Ruby"
243,Job Seeker 243,Communication
